worker_id,worker_name,contract_type,regular_hours_per_day,max_overtime_hours_per_day,efficiency_rate,hourly_cost,skill_heavy_item_lifting,skill_packing,skill_quality_inspection,skill_labeling_before_delivery
W01,Ahmed,Regular,8,2,1.0,75,1,1,1,1
W02,Mona,Regular,8,1,1.15,85,1,1,0,1
W03,Youssef,Regular,8,2,0.9,70,0,1,1,1
W04,Sara,Regular,8,0,1.25,90,0,1,1,1
W05,Omar,Regular,8,2,1.1,80,1,1,0,0
W06,Laila,Part-time,6,1,0.95,65,0,1,1,0
W07,Karim,Regular,8,3,1.3,100,1,1,1,1
W08,Nour,Regular,8,1,1.05,75,0,1,1,1
W09,Hassan,Regular,8,2,1.2,95,1,1,0,1
W10,Farida,Part-time,5,1,0.85,60,0,1,1,1
W11,Mostafa,Regular,8,2,1.1,85,1,1,0,0
W12,Dina,Regular,8,1,1.0,75,0,1,1,1
W13,Tarek,Regular,8,2,1.05,80,1,1,1,0
W14,Mariam,Regular,8,1,1.1,85,0,1,1,1
